"year_month","month_of_release","passenger_type","direction","sex","age","estimate","standard_error","status"
"2001-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",344,0,"Final"
"2007-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2007-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2007-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2008-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2008-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2008-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2008-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2008-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2008-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2008-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2008-08","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2008-09","2020-09","Long-term migrant","Arrivals","Male","85-89 years",7,0,"Final"
"2008-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2008-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2008-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",8,0,"Final"
"2009-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2009-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2009-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2009-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2009-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2009-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2009-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2009-09","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2009-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2009-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2009-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",10,0,"Final"
"2010-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2010-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2010-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2010-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2010-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2010-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2010-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2010-08","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2010-09","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2010-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2010-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2010-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2011-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",7,0,"Final"
"2011-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2011-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2011-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2011-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2011-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",2,0,"Final"
"2011-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2011-08","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2011-09","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2011-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2011-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2011-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2012-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2012-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",5,0,"Final"
"2012-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2012-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2012-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2012-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2012-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2012-08","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2012-09","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2012-10","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2012-11","2020-09","Long-term migrant","Arrivals","Male","85-89 years",4,0,"Final"
"2012-12","2020-09","Long-term migrant","Arrivals","Male","85-89 years",8,0,"Final"
"2013-01","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2013-02","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2013-03","2020-09","Long-term migrant","Arrivals","Male","85-89 years",6,0,"Final"
"2013-04","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2013-05","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
"2013-06","2020-09","Long-term migrant","Arrivals","Male","85-89 years",1,0,"Final"
"2013-07","2020-09","Long-term migrant","Arrivals","Male","85-89 years",3,0,"Final"
